userName,score,at,content
Eli Amalia,5,2026-05-02 11:45:34,game simpel tapi seruuuu bagettt
finaaa,5,2026-05-01 06:28:53,gokil nih game bagus cuy cuman saran aja tambahin kekuatan' soalnya lumayan bosen juga kalo cuman lawan orang pake tinju doang
muhammad akmal maulana,3,2026-04-29 16:56:49,cihuyyyy
Abiyan R,3,2026-04-27 13:31:14,mantap game nya bagus tapi jelek soal nya kurang karakter bagus tapi pantes darah suka ngurang soalnya pada jadi koruptor
Kenathra Abyseka Ar-Rozza,5,2026-04-27 13:24:01,sangat wowo dan pria solo
Malikin,4,2026-04-22 08:31:47,hidup jokowiiiiiii
girlia shen,1,2026-04-18 07:44:08,DEY BUSUK GAME NYA KIKIR BUKA KARAKTER AJA NONTON IKLAN YANG BURIK MANA BANYAK PULA IKLAN NYA DASAR DEV KIKIR
Black_start Dany,5,2026-04-18 03:01:36,ssngat seru
Siti supriyanti,5,2026-04-17 06:42:31,jokowiooooooy
KOCO Kan,1,2026-04-11 00:15:02,gamenya kek jmbt engga ada zilong sama Alok😎
sahrul zanuari,1,2026-04-10 13:27:38,nama doang petualangan joko gj🗿
Ahmadfathir Al azmi,5,2026-04-08 13:39:40,seru sih tapi kenapa layar gua kok hitam
Muhammad Rizky,5,2026-04-07 10:04:11,mantap banget
Kiel Keano,5,2026-04-07 05:07:36,ah mungkin perasaan ku saja...
Dominic Julianus Sucipta,5,2026-04-07 03:39:03,mantap
Nazril Hamdani,1,2026-04-04 13:12:37,burik
Jaya Saja,5,2026-04-01 09:30:14,coba perbaiki gamenya. karna kalo saya sudah dapat karakter dari nonton iklan terus saya kembali karakter saya hilang harus nonton iklan lagi
Azerou,5,2026-03-30 09:55:26,untuk developer semoga gak ilang ya bang wkwkwkwk
Muhamadabid Pranaja,3,2026-03-29 06:14:05,mohon kepada pembuat Cara dapat skin Prabowo Itu Gimana Ya ?
iank febriansyah,5,2026-03-27 02:02:30,game ini bagus karna aku selalu memikirkan sawit
Iqbal Oi,2,2026-03-26 17:20:43,gamenya burik kurang hd bikin sakit mata
H Kasta,5,2026-03-24 02:38:41,Dev nya gabut 🗿
Dimas Kurniawan,5,2026-03-23 05:54:38,gak ad Gibran Ama Bahlil tambahin dong bg sama Sahroni juga kalo bisa hehehehe
Indah Latifah,4,2026-03-20 03:56:37,agak bagus karena karakternya kurang
Herty yy,5,2026-03-18 04:13:59,seru banget tapi update game nya jadi lebih menantang dan agak lebih sulit
Fatimatuz Zahro,4,2026-03-18 03:29:31,game nya seru tapi saat kita serang lawan nya Langsung tiduran jadi susah habisin darahnya kalo yang bos pas nyerang dikit dikit tiduran jadi tolong ubah agar tidak begitu
Ahlan Aditya2013,5,2026-03-16 01:42:20,seru banget game ini
Saeful loh,5,2026-03-13 05:36:13,sangat seru
Ujang Roni,5,2026-03-13 03:29:35,mantap
Rezky Gunawan,5,2026-03-09 11:26:07,bagus gamenya tapi karakter ndk bisa dibeli pake iklan
Nasir Sirin,5,2026-03-09 08:00:43,absolute cinema buat developer nya🖐️😐🖐️
Ardhan 123,5,2026-03-09 06:44:47,tambahin karakter yg bawa MBG
Dani Aja,5,2026-03-08 21:01:35,game ya mantap
azril 123,5,2026-03-05 02:38:30,"game nya realistis dan seru bgt buat yg blm main harus cobain,kapan pagi liat wowo di pukulin"
Muhammad Arka,5,2026-03-02 10:10:25,"ah terlalu gampang, tapi gpp lumayan bagus dan aku ngakak pas pake Jokowi terus nyerang nya ada yang pake sniper 🤣🤣"
N&M_Fam,5,2026-02-28 15:30:11,baru tau jokowi jadi mafia nanti update ya tambahin bahlil sama gibran dan kaisang request nanti bahlilnya jadi vampir penghisap etanol ya sama ada sawit juga okey segitu aja terimakasih
Muhammad Alwin,4,2026-02-28 08:54:40,Bagus sih. Cuman lawannya makin lama makin jago dan banyak tapi darahnya gak bisa ngisi lagi padahal level nya susah sama lawannya banyak. Mana levelnya dikit lagi cuman 9. Tapi walaupun gitu tapi tetap seru sih walaupun gak bisa lari.
Vian Ammar,1,2026-02-27 07:43:04,"game burik, bosnya susah dikalahin tol0l👹"
Wahyu Cimeng,4,2026-02-23 17:03:41,gw kasih bintang 4 karna kalo pake jokowi enak bgt+gw blum download jire
clara,1,2026-02-23 14:08:33,game ga kelas banyak iklan nya patah patah pulak jangan di donlod jelek banget game nya
Abhitah Khansa,5,2026-02-22 15:13:36,gem nya sangat seru saya sampai muak main nya saya kasih bintang lima karna ada jokowi
Inayah Mutmainah,1,2026-02-21 15:58:41,ga bisa salto
Agung Saputra,5,2026-02-21 15:31:12,good game
kira,5,2026-02-20 19:00:50,ahok mirip bigmo
Yoga Tan,1,2026-02-20 14:49:13,game nya jelek
Hafiz fahri Sandjaya,5,2026-02-20 04:50:45,GAME INI SANGAT DI REKOMENDASIKAN UNTUK NGABUBURIT HIDUP DEVELOPER 🙋
emmm bege,4,2026-02-19 12:02:04,"game nya lumayan bagus, kebetulan saya habis dari tembok retapan solo, setelah pulang dari situ, saya langsung donlot gim ini dan sudah memainkanya 2 kali sehari sehabis sholat shubu dan maghrib dan semoga terus konsisten, semoga saya dapat karomah sekeluarga dari yth bapak hj. ir. joko widodo"
Didit Editya,5,2026-02-19 11:37:54,game nya sangat seru apalagi pria solo dan pria sawit OP banget tapi agak di tingkatin grafiknya ya
Abel Sharon,1,2026-02-19 10:31:22,itukan pria solo
Unknown akih,5,2026-02-16 06:35:18,pelis bikin game ke dua nya di mana Jokowi bertarung menghadapi monster gorong gorong seperti tikus raksasa
Sri Mulyani,5,2026-02-11 11:47:44,ini adalah game ngawu
Gilang septiano,5,2026-02-10 06:54:41,game asyik banget. kalian wajib cobain sih game nya
Mie Ayam,5,2026-02-09 12:38:43,tambahin Bahlil bg sama latar pertarungan nya di lahan sawit😂😹😹
Zoelfikar 400,5,2026-02-08 13:11:46,tambahin bahlil armor etanol sama prabowo armor sawit
Azka Fabyan Quthb,5,2026-01-30 11:25:07,bagus bangat
Deril Raditya,5,2026-01-23 03:55:33,mantap wajib coba
