userName,score,at,content
Rita NurDay,1,2026-04-24 00:31:30,2026: adakah update koleksi? Nggak bisa baca buku pas offline :((
Muhammad Firdaus,1,2026-04-07 07:30:41,"gaada yang bener emang aplikasi buatan pemerintah, jngan enak baca mau login ae susah bener heran gw, bentar lagi dapet teguran kalian karna bapak gw kenalannya pak Boby dan mas Gibran"
Nuraeni,3,2026-03-11 03:23:26,kenapa pas mau baca lagi ngga ke halaman terakhir baca ya? malah balik ke halaman cover kan jadi susah scrollnya
Yuni masdayani Harahap,4,2026-02-27 23:13:47,bagaimana cara loginnya?
Atina Rahmi Ar,5,2026-02-14 23:58:16,"Aplikasi nyaman dipakai, sistemnya baik. Kalau bisa minta untuk menambah koleksi buku."
Nasya Kirana Marendra,1,2026-02-02 02:57:18,"Terdapat banyak bug, tetapi jarang pembaruan, bug yg sering muncul seperti pada fitur search keyboard tidak bisa muncul, kadang filter tidak berfungsi dan lain sebagainya"
Dwi Rahma,3,2026-01-27 22:37:42,"saat terhubung wifi, malah log out, terus nggak bisa login kalau koneksi nya pakai wifi, kenapa yaaa?"
GSB Adane,1,2026-01-25 17:07:32,sekarang kok suka keluar sendiri ya aplikasinya? setiap mau login tiba-tiba keluar dari aplikasi mohon diperbaiki ya
Muhamad Damara,5,2026-01-11 09:08:36,cara loginnya gimana? soalnya pas awal masuk langsung suruh masuk. padahal saya belum punya akun disini. dan gak bisa bikin akun
Raihan Adli ashidiq,1,2026-01-05 11:03:01,"tolong di perbaiki, saya tidak bisa login padahal gmail dan sandinya sudah benar. atau kalau bisa rubah cara loginnya"
L A,1,2025-12-20 00:02:50,Gimana caranya log in? Tempat daftarnya gimana?
Refina Aprilia Dewi,5,2025-12-08 05:50:45,"Cukup senang waktu tau ada aplikasi buat baca buku yang gratis. Poin positif dari aplikasi ini, aplikasinya tuh relatif stabil dan tampilannya enak digunakan. Koleksi bukunya juga terbilang menarik dan cukup beragam. Minusnya sih, entah ini butuh jaringan yang harus kencang buat mengakses aplikasi atau aplikasinya gak seresponsif dulu ya... jadi sering lag gitu. Semoga kedepannya koleksi buku semakin ditambah dan aplikasinya jauh lebih baik👍"
nining ratna ningrum,1,2025-10-19 13:27:36,kecewa bgt udh dari tahun kpn tauu gak dapet dapett
Andes Doang,1,2025-10-13 05:08:35,g niat buat aplikasi g usah buat. mau masuk kok tombol ketik g muncul
Rike Kameswara,5,2025-09-26 06:40:19,setelah nunggu 1 tahun akhirnya bisa login juga hehe :) btw buku²nya lumayan lengkap
15. FADILA PUTRI FATIMAH,4,2025-09-21 11:31:00,tolong lah diberi opsi forget password kalo disuruh login ulang
Nandya Putri Pratama,1,2025-09-20 06:35:40,sepertinya project terbengkalai. gak dapat username sama password
AdStyn,1,2025-09-18 16:50:16,ga ada halangan registrationnya
Faza Nailil Muna Syahida,2,2025-09-14 12:25:43,"koleksi buku2nya bagus, tapi kenapa tiba2 ke log-out sendiri. Mau log-in lagi ga bisa karna pasword ga sesuai. Padahal email udah kedaftar & waiting list-nya sangat lamaaa. Gimana nihh? 💔"
ndwnvi,2,2025-09-06 05:28:53,"halo kak udah beberapa minggu gak bisa login. awalnya apk error keluar sendiri, mau login lg tapi apk tiba2 keluar, akhirnya uninstal dan instal ulang berharap bisa kembali normal tapi pas mau login sama aja kayak gtu terus. kenapa ini please, padahal banyak buku yg mau dibaca dimohon segera ka perbaiki apknya"
Novita Ramadhani,2,2025-09-05 08:39:43,"koleksinya banyak dan menarik semua. harus waiting list dulu baru bisa dapat akses log-in ke aplikasi ini. Tapi setelah kurang lebih 2 bulan tiba-tiba ke logout sendiri. tidak bisa login lagi. sempat kirim email pengaduan, ternyata ada maintenance. tolong segera diperbaiki, dan semoga masih bisa untuk login lagi. sayang kalau harus ngulang waiting list yang lama banget itu. bintang 2 karena kecewa"
Awallia Septiyana Putri,1,2025-09-04 03:07:18,Sudah beberapa hari tidak bisa log in
one da,3,2025-09-04 00:56:19,"nih aplikasi bagus sih cuma kenapa tiba2 logout sendiri. terus pas mau login lagi kan lupa password, nah mau ganti password gabisa katanya email belum terdaftar. padahal jelas2 udah terdaftar"
Nia,4,2025-09-03 17:25:49,"aplikasi tiba² keluar sendiri, masukin email + pasword, ngga bisa². Sudah kirim laporan by email, tapi ngga ada tanggapan. Tolong dibantu log in kembali ya, saya kepengen baca 🥲"
Nias Uciyanti,1,2025-09-03 12:42:53,"Aplikasi keluar sendiri, tidak bisa masuk lagi dengan e-mail dan sandi yang biasa digunakan. Dicoba berkali-kali tidak bisa. Dicoba instal ulang tidak bisa juga. Waktunya menyerah. wassalamu'alaikum..."
Putri Nelpilia,3,2025-08-30 12:06:28,Ada pilihan mengatur ukuran font tp tdk bsa digunakan & dark mode tdk full screen
Shalmy Melliyanti,1,2025-08-28 01:29:18,"Koleksi buku di RBK cukup banyak dan populer, sayangnya aplikasi sering kali bermasalah, seperti kesulitan login, buku yg sudah dipinjam tidak bisa dibaca karena loading terus, dan antrian buku tidak terlihat. Mohon diperbaiki aplikasinya"
Takumi Walker,2,2025-08-27 03:15:27,mulai sering eror
